"지역","연령(만)","성별","신장","체중","BMI","체지방률","허리둘레","윗몸일으키기","악력(D)","악력(ND)","제자리멀리뛰기","20m 왕복오래달리기","좌전굴","10m 왕복달리기","연령집단"
1,28,1,169.7,59,20.4874698287282,13.8,70.6,47,37.6,35.7,220,45,8,11.45,2
1,28,1,170,67.18,23.2456747404844,17.3,77.5,54,45.9,45.9,218,62,18.2,9.72,2
1,28,1,173,70.5,23.5557486050319,10.9,79,60,35,28,234,37,4,11.88,2
1,28,1,175.1,112.7,36.7579788786762,40.6,119.7,20,31.4,29.2,164.2,18,2.4,13.1,2
1,28,1,178.3,73.44,23.1009575384646,15.3,93.3,45,36.8,38.3,221,51,14.9,9.68,2
1,28,1,178.5,64.4,20.2120063711759,17.5,77,28,38.1,32.3,194,39,-8.4,10.48,2
1,28,2,152.4,49.6,21.3555982667521,36.9,68.2,22,23.6,20.1,121.3,18,21.5,13.3,2
1,28,2,161.1,50.4,19.4195631291852,27.8,70.6,22,22.8,22.8,100,22,14.2,16.15,2
1,28,2,162.4,51.8,19.640733820282,21,70.8,26,20.3,23.3,155,44,24.7,13.35,2
1,28,2,164.8,50.5,18.5941771137713,30.3,70.8,32,25.4,22.8,147,10,-8.4,14.3,2
1,29,1,170.9,61.4,21,10.9,72,64,51.4,48,250,96,26.8,9.5,2
1,29,1,172.6,71.1,23.8664606072487,21.5,84,53,39.3,38.8,216,53,17.1,10.03,2
1,29,1,174,76.5,25.2675386444709,14.8,78.6,43,53.9,49.4,211,60,20.9,10.26,2
1,29,1,175,77.6,25.3387755102041,17.4,83.1,56,60,59.2,221,43,7,12.66,2
1,29,1,177.1,83.38,26.584271790861,26.8,94,50,43.8,38.1,226,44,0.6,10.07,2
1,29,1,180.5,101.7,31.2152300857114,32.8,102,43,42.8,42.9,184,31,-2.7,11.56,2
1,29,1,181.9,87,26.2938302282939,21.9,87.1,36,48.6,45.3,203.8,19,6.5,12.17,2
1,29,1,182.1,78.2,23.5823380953372,14.2,87.5,54,47.1,45.2,237,81,7.3,9.57,2
1,29,2,157.2,50.58,20.467921449799,26.3,64,28,25.1,20.6,120,27,15.7,14.24,2
1,29,2,158,49,19.6,21,71,40,25.5,26.9,185,50,22.5,10.91,2
1,29,2,158.9,48.16,19.0738640931736,21.2,66.5,27,19.4,17.8,130,12,19.1,12.96,2
1,29,2,158.9,59.16,23.4304360413653,18.4,71.3,40,36,26.4,183,34,23.7,11.24,2
1,29,2,160,50,19.53125,33.3,79.8,30,21.6,17.4,150,18,1.3,13.76,2
1,29,2,161,61,23.5330427066857,36.8,79.5,21,20.2,23.5,108,15,5.3,15.63,2
1,29,2,164.1,60.7,22.5409143590081,35,75,41,27.6,25.3,181,32,19.8,11.88,2
1,29,2,165.8,55.1,20.043914725693,26.7,69.3,36,20.4,19.9,139,15,0.8,11.8,2
1,29,2,169.3,67.9,23.689498016397,34.4,76.1,22,17.9,19.2,135,12,16.2,14.67,2
1,30,1,160.8,53.4,20.6523353382342,16.2,76.1,53,39.3,39,233,90,20.8,9.72,3
1,30,1,170.4,68.9,23.7290330401816,21.6,80.4,50,39,42.7,204,30,11.5,11.37,3
1,30,1,170.9,73,24.9941708800105,24.7,83.2,50,50.7,42.8,222.8,46,5.4,10.9,3
1,30,1,171.4,76.12,25.9105805849011,24.3,86.5,50,37.9,37,222,28,1.9,11.28,3
1,30,1,173.9,72,23.8085711517495,23.2,79.1,49,44.1,35.7,233,63,2.8,9.11,3
1,30,1,175.1,73.3,23.9073633700707,16.2,83.6,52,48.8,43.2,254,50,18.9,10.01,3
1,30,1,175.2,82.04,26.7274452159046,27.1,96.1,41,46,40.6,179,42,6.3,12.02,3
